"","locationID","Latitude","Longitude"
"361","PGM",59.3483,151.8317
"362","PTH",56.9592,158.6333
"363","ORI",57.8853,152.8461
"364","A14",58.9064,157.7142
"365","PPC",66.8142,150.6436
"366","01A",62.9436,152.27
"367","20K",65.3539,149.7622
"368","5QC",65.4058,164.6558
"369","AQH",59.755,161.8453
"370","6AK",62.0842,152.7175
"371","RMP",65.5078,150.1408
"372","RDV",61.7881,157.3503
"373","DGG",68.0322,162.8992
"374","RBY",64.7272,155.47
"375","9AK2",61.8989,161.4397
"376","RSH",61.775,161.3194
"377","Z81",64.9092,165.0125
"378","SDP",55.3136,160.5214
"379","SVA",63.6864,170.4928
"380","SCM",61.8444,165.5739
"381","8AK3",66.7661,160.1528
"382","WLK",66.6,159.9858
"383","SOV",59.4425,151.7042
"384","SWD",60.1269,149.4189
"385","SHX",62.6922,159.5692
"386","2C7",64.3711,161.2239
"387","SMU",61.8119,147.5069
"388","SXP",62.5206,164.8478
"389","SYA",52.7122,174.1136
"390","SHH",66.2494,166.0894
"391","SHG",66.8881,157.1625
"392","SIT",57.0472,135.3617
"393","SGY",59.46,135.3156
"394","1AK6",61.8528,151.4083
"395","3AK9",61.9419,151.0361
"396","SKW",61.9653,151.1914
"397","1AK8",61.6769,151.3867
"398","DDT",62.7247,143.9206
"399","SLQ",61.7006,157.1658
"400","7AK2",58.1344,133.7294
"401","70AK",60.5178,150.9597
"402","7AK5",60.5036,150.9356
"403","7AK6",60.4778,150.9286
"404","7AK3",60.4764,151.1661
"405","1AK4",60.5242,150.7522
"406","AK55",60.4892,150.8017
"407","SXQ",60.475,151.0383
"408","AK26",64.5606,164.4422
"409","WSN",58.7022,157.0025
"410","SVW",61.0975,155.5742
"411","PBV",56.5772,169.6636
"412","KSM",62.0608,163.3019
"413","SMK",63.49,162.1103
"414","SNP",57.1672,170.2206
"415","WBB",63.5161,162.2781
"416","AK01",60.5289,150.625
"417","AK05",60.5411,150.5992
"418","88AK",60.5403,150.8681
"419","53AK",60.5344,150.9392
"420","AK84",60.5294,150.8308
"421","AK39",60.6972,150.18
"422","40AK",60.5553,150.8425
"423","SVS",66.0169,149.0544
"424","SRV",61.7897,156.5886
"425","UMM",63.3314,149.1272
"426","8AK6",61.3719,150.2622
"427","28AK",61.8089,147.8594
"428","JVM",61.7314,148.9278
"429","AK59",61.7911,148.3517
"430","48AK",61.7931,148.4925
"431","TCT",62.9928,156.0683
"432","TLJ",62.8944,155.9767
"433","2AK7",62.3075,149.7522
"434","51AK",62.2422,150.0658
"435","AK19",62.1739,150.0642
"436","21AK",62.0717,150.0689
"437","49AK",62.0244,149.9772
"438","AA00",62.5103,149.9267
"439","3AK3",62.5639,150.2206
"440","AK61",62.6997,148.9075
"441","TKA",62.3206,150.0936
"442","AK44",62.3189,150.1161
"443","TSG",63.3744,143.3356
"444","7AK0",64.6475,151.81
"445","TAL",65.1744,152.1094
"446","7KA",60.8725,146.6911
"447","8KA",62.2933,153.3619
"448","AK49",65.6792,164.7989
"449","AK64",60.8678,157.3919
"450","Z14",62.0647,146.4606
"451","2K5",63.3939,153.2689
"452","TER",65.2403,166.3394
"453","3T4",63.125,142.5183
"454","K55",61.1772,145.6883
"455","TNC",65.5631,167.9217
"456","TOG",59.0536,160.3969
"457","9AK0",62.5122,143.2356
"458","8AK9",63.3,143.0233
"459","6K8",63.3294,142.9536
"460","OOK",60.5414,165.0872
"461","9AK",64.0256,148.5222
"462","5AK0",60.8156,151.7989
"463","81AK",62.5678,150.2361
"464","TLT",61.0969,160.9694
"465","A61",60.3353,162.6669
"466","4KA",60.5756,165.2717
"467","A63",59.0744,160.275
"468","9AK3",61.0139,151.4489
"469","TYE",61.0767,151.1381
"470","9A8",57.5233,157.3961
"471","UMT",69.3711,152.135
"472","UNK",63.8883,160.7989
"473","DUT",53.9,166.5436
"474","UTO",65.9928,153.7042
"475","VDZ",61.1339,146.2483
"476","VEE",67.0086,146.3664
"477","0AK6",61.8033,147.9442
"478","AWI",70.6381,159.9947
