OBJECTID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,miles_length
5224,1102868914221,I- 10,I,S1100,35758.788366294561000,22.219436521165036
5225,1102868914222,I- 10,I,S1100,24657.179686907763000,15.321230496741769
5226,1102868914225,I- 10,I,S1100,86500.692365594528000,53.748930846487632
5227,1102868914858,I- 35,I,S1100,19795.644854610335000,12.300418843529179
5228,1102873362409,US Hwy 40,U,S1100,637.155236354735280,0.395909117034184
5229,1102873362433,US Hwy 61,U,S1100,637.155236354735280,0.395909117034184
5230,1102874953025,Bobby Jones Expy,M,S1100,2984.818321936443200,1.854676409953248
5231,1102875709194,Bobby Jones Expy,M,S1100,42.908588734286838,0.026662107614723
5232,1102881665531,I- 35,I,S1100,8334.794192883036900,5.178990646682530
5233,1102888239684,W H1 Fwy,M,S1100,75.300162716423173,0.046789258304065
5234,1102888251969,S H2 Fwy,M,S1100,590.007403374207910,0.366612870436278
5235,1102888251972,S H2 Fwy,M,S1100,514.277412024068670,0.319556529535789
5236,1102939696686,I- 20,I,S1100,10507.669642481205000,6.529150155058160
5237,1102950275225,Palmetto Pkwy,M,S1100,1675.312123702780800,1.040988609693474
5238,1102954224344,John T Knox Fwy,M,S1100,1132.541086093064000,0.703726997466602
5239,1102961282099,I- 55,I,S1100,19350.224491445795000,12.023648014965607
5240,1102966059020,I- 10,I,S1100,69905.345040968255000,43.437080717533462
5241,1102968180886,Bobby Jones Expy,M,S1100,6676.202819237298200,4.148391808607519
5242,1102968300838,Bobby Jones Expy,M,S1100,4361.810653232876600,2.710298065305845
5243,1102968306337,Bobby Jones Expy,M,S1100,2273.610915288501500,1.412753499603982
5244,1102968405164,US Hwy 77,U,S1100,35050.409798696084000,21.779271366393068
5245,1102968421481,Bobby Jones Expy,M,S1100,1179.201681408633900,0.732720489221242
5246,1102968421482,Bobby Jones Expy,M,S1100,5514.641808637020400,3.426632702115522
5247,1102968824928,US Hwy 66,U,S1100,5987.775454652718500,3.720623731844658
5248,1102968824939,US Hwy 66,U,S1100,3495.908171288947000,2.172252283832794
5249,1102968824946,US Hwy 66,U,S1100,1141.812566254412800,0.709488016626203
5250,1102968844842,I- 27,I,S1100,50890.417550439139000,31.621776183093257
5251,1102970390893,I- 72,I,S1100,7698.638907685937700,4.783702869248664
5252,1102970960614,Old Rte 36,O,S1100,8286.297678196282500,5.148856369800941
5253,1102974498344,I- 26,I,S1100,1216.070548138535100,0.755629695079137
5254,1102974498345,I- 26,I,S1100,89.980076105344892,0.055910915345130
5255,1102974498933,US Hwy 19W,U,S1100,38.035993439987948,0.023634423322796
5256,1102974498934,US Hwy 19W,U,S1100,5408.227367910248200,3.360509966455594
