GEOID,State,Urban,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeT,POP2010,UATYP10,PNT_COUNT,Shape_Area,areahalfmile,Shape_Area_1,areamile
36065021301,NY,1,1229,438,0.13169,1,3326,U,0,0,0,0.000041943,0.1465058734
36081009900,NY,1,0,3,1,0,3,U,0,0,0,2.623693202E-005,0.0949640492
36059413804,NY,1,1279,6,0.001538,0,3901,U,0,0,0,6.85462613E-007,0.0024860693
36059414502,NY,1,1690,8,0.001867,0,4285,U,0,0,0,0.000068587,0.248747159
36059414700,NY,1,1542,8,0.001744,0,4588,U,0,0,0,3.2546214611E-005,0.1179755725
36047012600,NY,1,872,0,0,1,2652,U,0,0,0,2.469749824E-005,0.0895819539
36047014800,NY,1,495,0,0,0,1209,U,0,0,0,1.4194875843E-005,0.0515009556
36047017100,NY,1,1602,6,0.0016,0,3749,U,0,0,0,2.2021811907E-005,0.0798508106
36047017400,NY,1,684,0,0,0,1793,U,0,0,0,1.9266451852E-005,0.0699150028
36047018200,NY,1,1089,0,0,1,3163,U,0,0,0,1.6948136747E-005,0.0614939507
36047022000,NY,1,1329,10,0.002025,1,4939,U,0,0,0,0.000020684,0.0750228428
36065023502,NY,1,1730,0,0,0,4444,U,0,0,0,3.130872476E-006,0.0109290201
36081013000,NY,1,530,17,0.009742,0,1745,U,0,0,0,2.0314057039E-005,0.0736114546
36081018000,NY,1,328,0,0,1,1090,U,0,0,0,1.1289377617E-005,0.0409240587
36059518800,NY,1,1033,12,0.003729,0,3218,U,0,0,0,3.531893812E-005,0.1278024648
36059520700,NY,1,1591,0,0,0,4681,U,0,0,0,0.0001129301,0.4091332231
36059521302,NY,1,1870,0,0,0,5527,U,0,0,0,5.3724914655E-005,0.1947859062
36059980100,NY,1,0,1190,1,0,1190,U,0,0,0,9.740606571E-006,0.0352869393
36067005000,NY,1,1036,5,0.001828,0,2735,U,0,0,0,4.9694571613E-005,0.1737266474
36091061702,NY,1,1675,0,0,0,4271,U,0,0,0,0,0
36111955400,NY,1,1294,1110,0.241252,0,4601,U,0,0,0,0,0
36119013900,NY,1,1781,197,0.040888,0,4818,U,0,0,0,0,0
36059301700,NY,1,819,0,0,0,2693,U,0,0,0,0,0
36103158410,NY,1,2081,49,0.013984,1,3504,U,0,0,0,0,0
36103158707,NY,1,581,43,0.025733,0,1671,U,0,0,0,0,0
