"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"529","RT @KirkDBorne: #DataProductChat A8: Yes indeed @bobehayes -- #DataScience is a team sport, and so is #DataProduct development...
https://t…",FALSE,0,NA,2016-03-15 20:34:30,FALSE,NA,"709840218514395138",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","homeAIinfo",6,TRUE,FALSE,NA,NA
"530","RT @amydyslex: Preparing For The #BigData Revolution
 https://t.co/PEPvc2pYqH 
#Data #DataScience",FALSE,0,NA,2016-03-15 20:34:30,FALSE,NA,"709840217709146112",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","homeAIinfo",4,TRUE,FALSE,NA,NA
"531","RT @PodiumData: Thanks for sharing @StartHubBoston! #BIgData #DataScience  https://t.co/2NLZql7G1h",FALSE,0,NA,2016-03-15 20:34:30,FALSE,NA,"709840216773795840",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","homeAIinfo",3,TRUE,FALSE,NA,NA
"532","RT @kdnuggets: Best #DataScience Online Courses #KDN https://t.co/SUhSTGOjhA",FALSE,0,NA,2016-03-15 20:34:24,FALSE,NA,"709840192333549569",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArkangelScrap",15,TRUE,FALSE,NA,NA
"533","RT @ericcolson: Great preso by @chrisemoody of @stitchfix tonight on LDA2Vec.  #NLP #algor #datascience
https://t.co/YoMgwMgfgY https://t.c…",FALSE,0,NA,2016-03-15 20:34:20,FALSE,NA,"709840176013422592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrisemoody",2,TRUE,FALSE,NA,NA
"534","RT @kdnuggets: Very cool! #KMeans #Clustering Example #Visualization #DataScience H/T @BecomingDataSci https://t.co/rNYZIo9Su0 via @YouTube",FALSE,0,NA,2016-03-15 20:34:19,FALSE,NA,"709840171823439872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArkangelScrap",10,TRUE,FALSE,NA,NA
"535","Work in #epidemiology, #clinicalresearch or health #DataScience)? Learn new skills applied to #KidneyDisease; go to: https://t.co/AIx5QC6UaS",FALSE,1,NA,2016-03-15 20:34:18,FALSE,NA,"709840166513451009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kenneth_Wilkins",3,FALSE,FALSE,NA,NA
"536","RT @kdnuggets: Top 30 #LinkedIn Groups for #Analytics, #BigData,#DataMining, and #DataScience #KDN https://t.co/hqAoxl4zxp",FALSE,0,NA,2016-03-15 20:34:17,FALSE,NA,"709840161752928256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArkangelScrap",12,TRUE,FALSE,NA,NA
"537","Great preso by @chrisemoody of @stitchfix tonight on LDA2Vec.  #NLP #algor #datascience
https://t.co/YoMgwMgfgY https://t.co/zD53j2L0d9",FALSE,10,NA,2016-03-15 20:33:45,FALSE,NA,"709840027287687170",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ericcolson",2,FALSE,FALSE,NA,NA
"538","RT @kdnuggets: 3 Things About #DataScience You Won’t Find In #Books #KDN https://t.co/ZHE8UyLmPc",FALSE,0,NA,2016-03-15 20:33:37,FALSE,NA,"709839996199542785",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArkangelScrap",11,TRUE,FALSE,NA,NA
