"","city","State","Year","Count","address","longitude","latitude"
"182","Albuquerque","NM","2009",4082,"Albuquerque , NM",-106.6055534,35.0853336
"183","Albuquerque","NM","2006",4550,"Albuquerque , NM",-106.6055534,35.0853336
"184","Albuquerque","NM","2007",5080,"Albuquerque , NM",-106.6055534,35.0853336
"185","Albuquerque","NM","2008",4718,"Albuquerque , NM",-106.6055534,35.0853336
"186","Alexandria","VA","2000",314,"Alexandria , VA",-77.0469214,38.8048355
"187","Alexandria","VA","2001",408,"Alexandria , VA",-77.0469214,38.8048355
"188","Alexandria","VA","2002",419,"Alexandria , VA",-77.0469214,38.8048355
"189","Alexandria","VA","2003",406,"Alexandria , VA",-77.0469214,38.8048355
"190","Alexandria","VA","2004",378,"Alexandria , VA",-77.0469214,38.8048355
"191","Alexandria","VA","2009",288,"Alexandria , VA",-77.0469214,38.8048355
"192","Alexandria","VA","2010",272,"Alexandria , VA",-77.0469214,38.8048355
"193","Alexandria","VA","2011",252,"Alexandria , VA",-77.0469214,38.8048355
"194","Alexandria","VA","1985",802,"Alexandria , VA",-77.0469214,38.8048355
"195","Alexandria","VA","1986",728,"Alexandria , VA",-77.0469214,38.8048355
"196","Alexandria","VA","1987",681,"Alexandria , VA",-77.0469214,38.8048355
"197","Alexandria","VA","1988",749,"Alexandria , VA",-77.0469214,38.8048355
"198","Alexandria","VA","1989",719,"Alexandria , VA",-77.0469214,38.8048355
"199","Alexandria","VA","1990",693,"Alexandria , VA",-77.0469214,38.8048355
"200","Alexandria","VA","1991",738,"Alexandria , VA",-77.0469214,38.8048355
"201","Alexandria","VA","1992",747,"Alexandria , VA",-77.0469214,38.8048355
"202","Alexandria","VA","1993",752,"Alexandria , VA",-77.0469214,38.8048355
"203","Alexandria","VA","1994",705,"Alexandria , VA",-77.0469214,38.8048355
"204","Alexandria","VA","1995",654,"Alexandria , VA",-77.0469214,38.8048355
"205","Alexandria","VA","1996",636,"Alexandria , VA",-77.0469214,38.8048355
"206","Alexandria","VA","1997",606,"Alexandria , VA",-77.0469214,38.8048355
"207","Alexandria","VA","1998",489,"Alexandria , VA",-77.0469214,38.8048355
"208","Alexandria","VA","1999",388,"Alexandria , VA",-77.0469214,38.8048355
"209","Alexandria","VA","2008",326,"Alexandria , VA",-77.0469214,38.8048355
"210","Alexandria","VA","2005",462,"Alexandria , VA",-77.0469214,38.8048355
"211","Alexandria","VA","2006",449,"Alexandria , VA",-77.0469214,38.8048355
"212","Alexandria","VA","2007",366,"Alexandria , VA",-77.0469214,38.8048355
"213","Alexandria","VA","2012",243,"Alexandria , VA",-77.0469214,38.8048355
"214","Allentown City","PA","1986",460,"Allentown City , PA",-75.4901833,40.6084305
"215","Allentown City","PA","1987",427,"Allentown City , PA",-75.4901833,40.6084305
"216","Allentown City","PA","1988",476,"Allentown City , PA",-75.4901833,40.6084305
"217","Allentown City","PA","2012",653,"Allentown City , PA",-75.4901833,40.6084305
"218","Allentown City","PA","1994",822,"Allentown City , PA",-75.4901833,40.6084305
"219","Allentown City","PA","1995",776,"Allentown City , PA",-75.4901833,40.6084305
"220","Allentown City","PA","1996",652,"Allentown City , PA",-75.4901833,40.6084305
"221","Allentown City","PA","1989",499,"Allentown City , PA",-75.4901833,40.6084305
"222","Allentown City","PA","1985",396,"Allentown City , PA",-75.4901833,40.6084305
"223","Allentown City","PA","1999",660,"Allentown City , PA",-75.4901833,40.6084305
"224","Allentown City","PA","2000",688,"Allentown City , PA",-75.4901833,40.6084305
"225","Allentown City","PA","2001",618,"Allentown City , PA",-75.4901833,40.6084305
"226","Allentown City","PA","2002",615,"Allentown City , PA",-75.4901833,40.6084305
"227","Allentown City","PA","1990",393,"Allentown City , PA",-75.4901833,40.6084305
"228","Allentown City","PA","1991",391,"Allentown City , PA",-75.4901833,40.6084305
"229","Allentown City","PA","1992",415,"Allentown City , PA",-75.4901833,40.6084305
"230","Allentown City","PA","1993",719,"Allentown City , PA",-75.4901833,40.6084305
"231","Allentown City","PA","2007",869,"Allentown City , PA",-75.4901833,40.6084305
"232","Allentown City","PA","2008",805,"Allentown City , PA",-75.4901833,40.6084305
"233","Allentown City","PA","2009",749,"Allentown City , PA",-75.4901833,40.6084305
"234","Allentown City","PA","1997",687,"Allentown City , PA",-75.4901833,40.6084305
"235","Allentown City","PA","1998",677,"Allentown City , PA",-75.4901833,40.6084305
"236","Allentown City","PA","2003",641,"Allentown City , PA",-75.4901833,40.6084305
"237","Allentown City","PA","2004",652,"Allentown City , PA",-75.4901833,40.6084305
"238","Allentown City","PA","2005",863,"Allentown City , PA",-75.4901833,40.6084305
"239","Allentown City","PA","2006",1081,"Allentown City , PA",-75.4901833,40.6084305
"240","Allentown City","PA","2011",647,"Allentown City , PA",-75.4901833,40.6084305
"241","Allentown City","PA","2010",732,"Allentown City , PA",-75.4901833,40.6084305
"242","Amarillo","TX","1986",887,"Amarillo , TX",-101.8312969,35.2219971
"243","Amarillo","TX","1987",842,"Amarillo , TX",-101.8312969,35.2219971
